time_seconds,x,y
0.000,119,839
0.000,132,1050
0.000,138,1044
0.000,140,1042
0.000,154,1028
0.000,170,1012
0.000,172,1010
0.000,180,1002
0.000,191,791
0.000,248,936
0.000,304,884
0.000,335,703
0.000,392,807
0.000,393,806
0.000,428,777
0.000,429,776
0.000,432,773
0.000,439,647
0.000,720,584
0.000,768,564
0.000,953,549
0.000,1151,515
0.000,1163,511
0.000,1318,429
0.000,1441,343
0.000,1495,299
0.000,1498,296
0.000,1515,283
0.000,38,895
0.000,144,1038
0.000,158,1024
0.000,384,813
0.000,484,732
0.000,544,688
0.000,590,657
0.000,638,563
0.000,640,626
0.000,702,545
0.000,880,536
0.000,959,540
0.000,1064,539
0.000,1190,499
0.000,1198,495
0.000,1254,467
0.000,1254,524
0.000,1354,405
0.000,1374,391
0.000,1438,344
0.000,1470,319
0.000,1480,311
0.000,1502,293
0.000,1788,248
0.000,1860,198
0.000,72,870
0.000,78,866
0.000,114,1068
0.000,128,1054
0.000,134,1048
0.000,136,1046
0.000,142,822
0.000,142,1040
0.000,160,1022
0.000,166,806
0.000,166,1016
0.000,168,1014
0.000,174,1008
0.000,176,1006
0.000,190,992
0.000,256,928
0.000,288,898
0.000,294,726
0.000,308,880
0.000,356,690
0.000,376,820
0.000,380,816
0.000,382,676
0.000,394,804
0.000,418,784
0.000,448,760
0.000,468,744
0.000,502,616
0.000,534,602
0.000,642,624
0.000,656,616
0.000,664,612
0.000,672,608
0.000,752,570
0.000,967,541
0.000,1134,520
0.000,1384,476
0.000,1490,302
0.000,1576,380
0.000,1598,210
0.000,1610,198
0.000,1658,154
0.000,1662,150
0.000,1720,94
0.000,1726,88
0.000,1752,62
0.000,1758,56
0.000,1840,212
0.000,102,850
0.000,110,1072
0.000,198,786
0.000,214,776
0.000,290,896
0.000,294,892
0.000,302,722
0.000,316,872
0.000,320,868
0.000,408,792
0.000,414,668
0.000,424,778
0.000,488,728
0.000,496,722
0.000,574,586
0.000,756,568
0.000,808,550
0.000,865,538
0.000,1230,530
0.000,1262,462
0.000,1334,418
0.000,1456,438
0.000,1486,306
0.000,1566,238
0.000,1664,324
0.000,1690,124
0.000,761,532
0.000,1322,426
0.000,1770,46
0.000,737,576
0.000,817,548
0.000,833,544
0.000,1036,543
0.000,1085,534
0.000,1454,332
0.000,1774,41
0.000,950,538
0.000,1345,492
0.000,1593,214
0.000,1117,526
0.000,1341,414
0.000,1549,254
0.000,1186,540
0.000,849,896
0.000,1069,182
0.000,1474,220
0.000,444,858
0.000,1256,199
0.000,662,879
0.033,119,839
0.033,132,1050
0.033,138,1044
0.033,140,1042
0.033,154,1028
0.033,170,1012
0.033,172,1010
0.033,180,1002
0.033,191,791
0.033,248,936
0.033,304,884
0.033,335,703
0.033,392,807
0.033,393,806
0.033,428,777
0.033,429,776
0.033,592,656
0.033,640,626
0.033,720,584
0.033,953,549
0.033,1151,515
0.033,1163,511
0.033,1318,429
0.033,1441,343
0.033,1495,299
0.033,1498,296
0.033,1515,283
0.033,1663,151
0.033,1691,124
0.033,38,895
0.033,144,1038
0.033,158,1024
0.033,256,928
0.033,484,732
0.033,544,688
0.033,590,657
0.033,638,563
0.033,702,545
0.033,1064,539
0.033,1190,499
0.033,1198,495
0.033,1254,524
0.033,1354,405
0.033,1374,391
0.033,1438,344
0.033,1470,319
0.033,1480,311
0.033,1502,293
0.033,1788,248
0.033,1860,198
0.033,72,870
0.033,78,866
0.033,114,1068
0.033,128,1054
0.033,134,1048
0.033,136,1046
0.033,142,822
0.033,142,1040
0.033,160,1022
0.033,166,806
0.033,166,1016
0.033,168,1014
0.033,174,1008
0.033,176,1006
0.033,190,992
0.033,288,898
0.033,294,726
0.033,308,880
0.033,320,868
0.033,356,690
0.033,376,820
0.033,380,816
0.033,394,804
0.033,418,784
0.033,448,760
0.033,468,744
0.033,502,616
0.033,534,602
0.033,642,624
0.033,656,616
0.033,664,612
0.033,672,608
0.033,752,570
0.033,967,541
0.033,1134,520
0.033,1460,326
0.033,1490,302
0.033,1566,238
0.033,1576,380
0.033,1598,210
0.033,1610,198
0.033,1706,108
0.033,1720,94
0.033,1726,88
0.033,1752,62
0.033,1758,56
0.033,102,850
0.033,110,1072
0.033,198,786
0.033,214,776
0.033,290,896
0.033,294,892
0.033,302,722
0.033,316,872
0.033,384,812
0.033,408,792
0.033,414,668
0.033,424,778
0.033,488,728
0.033,496,722
0.033,574,586
0.033,746,572
0.033,756,568
0.033,808,550
0.033,865,538
0.033,1230,530
0.033,1262,462
0.033,1276,454
0.033,1334,418
0.033,1384,476
0.033,1486,306
0.033,1664,324
0.033,817,548
0.033,1322,426
0.033,1770,46
0.033,737,576
0.033,833,544
0.033,1036,543
0.033,1085,534
0.033,1454,332
0.033,1774,41
0.033,950,538
0.033,1345,492
0.033,1593,214
0.033,1117,526
0.033,1341,414
0.033,1186,540
0.033,849,896
0.033,1069,182
0.033,444,858
0.033,1474,220
0.033,662,879
0.033,1256,199
0.067,119,839
0.067,132,1050
0.067,138,1044
0.067,140,1042
0.067,154,1028
0.067,170,1012
0.067,172,1010
0.067,180,1002
0.067,191,791
0.067,248,936
0.067,256,928
0.067,304,884
0.067,335,703
0.067,392,807
0.067,393,806
0.067,428,777
0.067,429,776
0.067,592,656
0.067,640,626
0.067,720,584
0.067,953,549
0.067,1151,515
0.067,1163,511
0.067,1318,429
0.067,1441,343
0.067,1495,299
0.067,1498,296
0.067,1515,283
0.067,1663,151
0.067,1691,124
0.067,38,895
0.067,144,1038
0.067,158,1024
0.067,484,732
0.067,544,688
0.067,590,657
0.067,638,563
0.067,702,545
0.067,1064,539
0.067,1190,499
0.067,1198,495
0.067,1254,524
0.067,1354,405
0.067,1374,391
0.067,1438,344
0.067,1470,319
0.067,1480,311
0.067,1502,293
0.067,1788,248
0.067,1860,198
0.067,72,870
0.067,78,866
0.067,114,1068
0.067,128,1054
0.067,134,1048
0.067,136,1046
0.067,142,822
0.067,142,1040
0.067,160,1022
0.067,166,806
0.067,166,1016
0.067,168,1014
0.067,174,1008
0.067,176,1006
0.067,190,992
0.067,288,898
0.067,294,726
0.067,308,880
0.067,320,868
0.067,356,690
0.067,376,820
0.067,380,816
0.067,394,804
0.067,418,784
0.067,448,760
0.067,468,744
0.067,502,616
0.067,534,602
0.067,642,624
0.067,656,616
0.067,664,612
0.067,672,608
0.067,752,570
0.067,967,541
0.067,1134,520
0.067,1460,326
0.067,1490,302
0.067,1566,238
0.067,1576,380
0.067,1598,210
0.067,1610,198
0.067,1706,108
0.067,1720,94
0.067,1726,88
0.067,1752,62
0.067,1758,56
0.067,102,850
0.067,110,1072
0.067,198,786
0.067,214,776
0.067,290,896
0.067,294,892
0.067,302,722
0.067,316,872
0.067,384,812
0.067,408,792
0.067,414,668
0.067,424,778
0.067,488,728
0.067,496,722
0.067,574,586
0.067,746,572
0.067,756,568
0.067,808,550
0.067,865,538
0.067,1230,530
0.067,1262,462
0.067,1276,454
0.067,1334,418
0.067,1384,476
0.067,1486,306
0.067,1664,324
0.067,817,548
0.067,1322,426
0.067,1770,46
0.067,737,576
0.067,833,544
0.067,1036,543
0.067,1085,534
0.067,1454,332
0.067,1774,41
0.067,950,538
0.067,1345,492
0.067,1593,214
0.067,1117,526
0.067,1341,414
0.067,1186,540
0.067,849,896
0.067,1069,182
0.067,444,858
0.067,1474,220
0.067,662,879
0.067,1256,199
0.100,119,839
0.100,132,1050
0.100,138,1044
0.100,140,1042
0.100,154,1028
0.100,170,1012
0.100,172,1010
0.100,180,1002
0.100,191,791
0.100,248,936
0.100,256,928
0.100,304,884
0.100,335,703
0.100,392,807
0.100,393,806
0.100,428,777
0.100,429,776
0.100,592,656
0.100,640,626
0.100,720,584
0.100,953,549
0.100,1151,515
0.100,1163,511
0.100,1318,429
0.100,1441,343
0.100,1495,299
0.100,1498,296
0.100,1515,283
0.100,1663,151
0.100,1691,124
0.100,38,895
0.100,144,1038
0.100,158,1024
0.100,484,732
0.100,544,688
0.100,590,657
0.100,638,563
0.100,702,545
0.100,1064,539
0.100,1190,499
0.100,1198,495
0.100,1254,524
0.100,1354,405
0.100,1374,391
0.100,1438,344
0.100,1470,319
0.100,1480,311
0.100,1502,293
0.100,1788,248
0.100,1860,198
0.100,72,870
0.100,78,866
0.100,114,1068
0.100,128,1054
0.100,134,1048
0.100,136,1046
0.100,142,822
0.100,142,1040
0.100,160,1022
0.100,166,806
0.100,166,1016
0.100,168,1014
0.100,174,1008
0.100,176,1006
0.100,190,992
0.100,288,898
0.100,294,726
0.100,308,880
0.100,320,868
0.100,356,690
0.100,376,820
0.100,380,816
0.100,394,804
0.100,418,784
0.100,448,760
0.100,468,744
0.100,502,616
0.100,534,602
0.100,642,624
0.100,656,616
0.100,664,612
0.100,672,608
0.100,752,570
0.100,967,541
0.100,1134,520
0.100,1460,326
0.100,1490,302
0.100,1566,238
0.100,1576,380
0.100,1598,210
0.100,1610,198
0.100,1706,108
0.100,1720,94
0.100,1726,88
0.100,1752,62
0.100,1758,56
0.100,102,850
0.100,110,1072
0.100,198,786
0.100,214,776
0.100,290,896
0.100,294,892
0.100,302,722
0.100,316,872
0.100,384,812
0.100,408,792
0.100,414,668
0.100,424,778
0.100,488,728
0.100,496,722
0.100,574,586
0.100,746,572
0.100,756,568
0.100,808,550
0.100,816,548
0.100,865,538
0.100,1230,530
0.100,1262,462
0.100,1276,454
0.100,1334,418
0.100,1384,476
0.100,1486,306
0.100,1664,324
0.100,1322,426
0.100,1770,46
0.100,737,576
0.100,833,544
0.100,1036,543
0.100,1085,534
0.100,1454,3